as_num,uniq_urls_seen
AS7713,30
AS17974,29
AS45727,28
AS23700,26
AS23693,26
AS24203,25
AS18004,23
AS4761,23
AS0,22
AS131709,20
AS131472,20
AS45292,19
AS17670,19
AS17451,18
AS4795,18
AS63859,15
AS9657,14
AS9905,13
AS45305,10
AS55666,10
AS56256,8
AS131111,7
AS135478,5
AS18103,4
AS23949,4
AS4832,4
AS4787,4
AS55699,4
AS17658,3
AS58479,3
AS45287,3
AS38758,2
AS56239,2
AS131755,2
AS24207,2
AS17995,2
AS23947,1
AS136119,1
AS4572,1
AS17885,1
AS4800,1
AS38496,1
AS136844,1
