as_num,uniq_urls_seen
AS39891,26
AS25019,25
AS35819,24
AS43766,23
AS0,12
AS35753,11
AS48695,8
AS34400,8
AS47794,3
AS62452,1
AS43706,1
AS34397,1
AS15505,1
