annotation_name,uniq_urls_seen
nat_ir_iframe_forward_ipv6,17
nat_ir_iframe_forward_ipv4,68
nat_ir_block_peyvandha,45
nat_ir_block_internetir,14
dns_nat_ir_inject_2,54
dns_nat_ir_inject_1,16
